ID,date,Open,High,Low,Close,Volume
1,01/01/2018 0:00,2.86,2.88,2.77,2.81,2627000
2,02/01/2018 0:00,2.81,2.84,2.77,2.79,4030500
3,03/01/2018 0:00,2.8,2.94,2.8,2.85,10607500
4,04/01/2018 0:00,2.9,2.98,2.89,2.95,7753000
5,05/01/2018 0:00,2.97,3,2.92,2.96,11937500
6,08/01/2018 0:00,3.09,3.2,3.05,3.17,35268000
7,09/01/2018 0:00,3.19,3.22,2.95,3,19448500
8,10/01/2018 0:00,3.02,3.05,2.95,2.97,10709000
9,11/01/2018 0:00,3.04,3.08,2.86,2.9,20584000
10,12/01/2018 0:00,2.9,2.9,2.76,2.8,15221000
11,15/01/2018 0:00,2.85,2.89,2.79,2.81,2805000
12,16/01/2018 0:00,2.88,2.91,2.79,2.8,7018500
13,17/01/2018 0:00,2.84,2.88,2.8,2.84,2490500
14,18/01/2018 0:00,2.85,2.89,2.79,2.8,10373000
15,19/01/2018 0:00,2.83,2.91,2.79,2.87,12962500
16,22/01/2018 0:00,2.89,2.95,2.85,2.88,6274000
17,23/01/2018 0:00,2.89,2.9,2.83,2.84,4429500
18,24/01/2018 0:00,2.85,2.86,2.79,2.8,10254500
19,25/01/2018 0:00,2.83,2.84,2.8,2.82,2551000
20,26/01/2018 0:00,2.82,2.83,2.79,2.8,2992000
21,29/01/2018 0:00,2.8,2.82,2.76,2.77,4056000
22,30/01/2018 0:00,2.48,2.62,2.36,2.57,35389000
23,31/01/2018 0:00,2.58,2.64,2.45,2.57,19172500
24,01/02/2018 0:00,2.65,2.84,2.64,2.67,23821500
25,02/02/2018 0:00,2.72,2.76,2.5,2.53,10771500
26,06/02/2018 0:00,2.56,2.6,2.44,2.49,8071500
27,07/02/2018 0:00,2.53,2.62,2.5,2.54,7532500
28,08/02/2018 0:00,2.55,2.64,2.5,2.55,2502500
29,09/02/2018 0:00,2.55,2.56,2.48,2.52,4811500
30,12/02/2018 0:00,2.55,2.55,2.47,2.52,4461000
31,13/02/2018 0:00,2.54,2.65,2.5,2.59,6627000
32,14/02/2018 0:00,2.64,2.65,2.41,2.48,9744500
33,15/02/2018 0:00,2.5,2.5,2.35,2.4,6058000
34,16/02/2018 0:00,2.4,2.48,2.37,2.44,2862500
35,19/02/2018 0:00,2.48,2.5,2.35,2.36,3612500
36,20/02/2018 0:00,2.4,2.41,2.3,2.33,5562500
37,21/02/2018 0:00,2.33,2.37,2.25,2.31,4986000
38,22/02/2018 0:00,2.25,2.3,2.22,2.28,3001000
39,23/02/2018 0:00,2.28,2.32,2.12,2.15,7131000
40,26/02/2018 0:00,2.2,2.3,2.18,2.2,4009000
41,27/02/2018 0:00,2.17,2.25,2.17,2.19,2231500
42,28/02/2018 0:00,2.22,2.26,2.2,2.2,1491000
43,01/03/2018 0:00,2.23,2.42,2.18,2.37,4777000
44,02/03/2018 0:00,2.39,2.52,2.33,2.48,5840500
45,05/03/2018 0:00,2.55,2.61,2.47,2.51,9062500
46,06/03/2018 0:00,2.52,2.57,2.45,2.5,4318000
47,07/03/2018 0:00,2.48,2.55,2.44,2.45,1695500
48,08/03/2018 0:00,2.46,2.5,2.42,2.45,1999500
49,09/03/2018 0:00,2.5,2.5,2.4,2.4,1837000
50,12/03/2018 0:00,2.42,2.46,2.4,2.44,6469500
51,13/03/2018 0:00,2.42,2.46,2.39,2.4,6181000
52,14/03/2018 0:00,2.38,2.42,2.37,2.38,1001500
53,15/03/2018 0:00,2.37,2.4,2.34,2.35,4165500
54,16/03/2018 0:00,2.4,2.51,2.38,2.45,12677000
55,19/03/2018 0:00,2.41,2.49,2.4,2.44,1368000
56,20/03/2018 0:00,2.43,2.47,2.34,2.35,3647500
57,21/03/2018 0:00,2.33,2.37,2.29,2.36,2304000
58,22/03/2018 0:00,2.35,2.4,2.31,2.35,1357500
59,26/03/2018 0:00,2.4,2.4,2.31,2.34,1340500
60,27/03/2018 0:00,2.35,2.38,2.32,2.34,1468000
61,28/03/2018 0:00,2.36,2.41,2.31,2.33,4891000
62,29/03/2018 0:00,2.34,2.38,2.31,2.37,2862500
63,30/03/2018 0:00,2.34,2.39,2.29,2.31,5926500
64,02/04/2018 0:00,2.29,2.32,2.24,2.25,3834500
65,03/04/2018 0:00,2.27,2.29,2.09,2.18,18565000
66,04/04/2018 0:00,2.19,2.29,2.19,2.26,2962500
67,05/04/2018 0:00,2.28,2.32,2.2,2.25,5437000
68,06/04/2018 0:00,2.23,2.29,2.22,2.27,1161500
69,09/04/2018 0:00,2.28,2.31,2.25,2.28,1688500
70,10/04/2018 0:00,2.35,2.39,2.31,2.33,5939500
71,11/04/2018 0:00,2.35,2.37,2.28,2.3,1744000
72,12/04/2018 0:00,2.3,2.34,2.27,2.28,1980500
73,13/04/2018 0:00,2.3,2.31,2.21,2.25,1145000
74,16/04/2018 0:00,2.28,2.3,2.21,2.27,1098500
75,17/04/2018 0:00,2.3,2.3,2.24,2.25,291500
76,18/04/2018 0:00,2.25,2.28,2.2,2.21,1376000
77,19/04/2018 0:00,2.2,2.22,2.14,2.16,1265000
78,20/04/2018 0:00,2.17,2.25,2.12,2.22,2814500
79,23/04/2018 0:00,2.29,2.29,2.15,2.19,789500
80,24/04/2018 0:00,2.24,2.25,2.16,2.18,1455000
81,25/04/2018 0:00,2.25,2.25,2.17,2.18,1311000
82,26/04/2018 0:00,2.24,2.24,2.16,2.2,912500
83,27/04/2018 0:00,2.25,2.25,2.15,2.21,6927500
84,30/04/2018 0:00,2.25,2.28,2.15,2.17,1617000
85,02/05/2018 0:00,2.16,2.26,2.16,2.21,2073000
86,03/05/2018 0:00,2.24,2.24,2.15,2.18,3138000
87,04/05/2018 0:00,2.2,2.19,2.14,2.16,1031000
88,07/05/2018 0:00,2.18,2.23,2.15,2.16,1718500
89,08/05/2018 0:00,2.17,2.17,2.12,2.14,978000
90,09/05/2018 0:00,2.17,2.17,2.05,2.11,1411500
91,10/05/2018 0:00,2.13,2.26,2.13,2.17,7003500
92,11/05/2018 0:00,2.22,2.24,2.15,2.17,1489500
93,14/05/2018 0:00,2.2,2.2,2.08,2.09,1691500
94,15/05/2018 0:00,2.14,2.15,2.02,2.11,1991500
95,16/05/2018 0:00,2.17,2.17,2.09,2.1,496000
96,17/05/2018 0:00,2.11,2.15,2.08,2.1,666000
97,18/05/2018 0:00,2.09,2.09,2.04,2.05,389500
98,21/05/2018 0:00,2.1,2.11,2,2.01,1555500
99,22/05/2018 0:00,2.04,2.09,2.03,2.08,778000
100,23/05/2018 0:00,2.08,2.1,2.02,2.05,2235000
101,24/05/2018 0:00,2.01,2.07,2,2.07,1010000
102,25/05/2018 0:00,2.07,2.08,1.98,2,2739500
103,28/05/2018 0:00,2.01,2.03,1.95,2.01,1096000
104,29/05/2018 0:00,2.01,2.04,1.98,2.02,341000
105,30/05/2018 0:00,2.07,2.07,1.98,2,614500
106,31/05/2018 0:00,2,2.02,1.96,1.97,649000
107,01/06/2018 0:00,2,2,1.95,1.97,473500
108,04/06/2018 0:00,1.99,2.01,1.97,2,402000
109,05/06/2018 0:00,1.98,2.04,1.98,2.01,627000
110,06/06/2018 0:00,2.04,2.05,2,2.01,647000
111,07/06/2018 0:00,2.05,2.05,1.99,2,390500
112,11/06/2018 0:00,2,2.04,1.93,1.96,1274000
113,12/06/2018 0:00,1.95,2.04,1.9,2,4189500
114,13/06/2018 0:00,2.03,2.03,1.95,1.98,2446000
115,14/06/2018 0:00,1.96,2,1.95,1.97,1193000
116,19/06/2018 0:00,2,2,1.97,2,158000
117,20/06/2018 0:00,1.96,2,1.91,1.94,462500
118,21/06/2018 0:00,1.93,1.95,1.87,1.89,945000
119,22/06/2018 0:00,1.87,1.92,1.84,1.85,367500
120,25/06/2018 0:00,1.94,1.94,1.84,1.86,3434500
121,26/06/2018 0:00,1.9,1.91,1.82,1.84,2801500
122,27/06/2018 0:00,1.85,1.86,1.81,1.84,2109500
123,28/06/2018 0:00,1.85,1.89,1.85,1.85,1446000
124,29/06/2018 0:00,1.86,2.04,1.86,1.93,4557500
125,02/07/2018 0:00,1.93,2,1.9,1.93,1816500
126,03/07/2018 0:00,1.9,1.9,1.87,1.88,435500
127,04/07/2018 0:00,1.9,1.9,1.73,1.79,2824000
128,05/07/2018 0:00,1.8,1.82,1.76,1.8,1584000
129,06/07/2018 0:00,1.8,1.8,1.77,1.79,480500
130,09/07/2018 0:00,1.82,1.82,1.7,1.8,1410500
131,10/07/2018 0:00,1.74,1.81,1.65,1.72,2117500
132,11/07/2018 0:00,1.75,1.78,1.7,1.73,619000
133,12/07/2018 0:00,1.72,1.79,1.68,1.73,209000
134,13/07/2018 0:00,1.76,1.8,1.63,1.73,127500
135,16/07/2018 0:00,1.79,1.79,1.63,1.68,2850000
136,17/07/2018 0:00,1.74,1.74,1.65,1.68,293000
137,18/07/2018 0:00,1.69,1.84,1.67,1.79,1350000
138,19/07/2018 0:00,1.71,1.86,1.71,1.8,598500
139,20/07/2018 0:00,1.8,1.85,1.75,1.81,8087000
140,23/07/2018 0:00,1.72,1.8,1.72,1.75,1052500
141,24/07/2018 0:00,1.78,1.95,1.78,1.87,3563000
142,26/07/2018 0:00,1.91,1.93,1.75,1.79,3818500
143,27/07/2018 0:00,1.8,1.98,1.65,1.96,20000500
144,30/07/2018 0:00,2.08,2.13,1.98,2.11,35138500
145,31/07/2018 0:00,2.14,2.31,2.1,2.21,19174500
146,01/08/2018 0:00,2.2,2.26,2.12,2.22,5534000
147,02/08/2018 0:00,2.22,2.28,2.12,2.18,5493500
148,03/08/2018 0:00,2.2,2.2,2.09,2.11,2742000
149,06/08/2018 0:00,2.18,2.18,2.04,2.07,2856500
150,07/08/2018 0:00,2.08,2.08,1.97,2,4407000
151,08/08/2018 0:00,1.97,2.03,1.95,1.99,3398000
152,09/08/2018 0:00,2,2.05,1.95,2,6908500
153,10/08/2018 0:00,1.96,2.09,1.96,2.02,6703000
154,13/08/2018 0:00,2.1,2.13,2,2.04,12378000
155,15/08/2018 0:00,2.07,2.09,1.97,1.99,4480500
156,16/08/2018 0:00,2.04,2.04,1.9,1.91,2042500
157,17/08/2018 0:00,1.95,2.1,1.94,2,8380500
158,20/08/2018 0:00,2.08,2.14,2,2.03,14350000
159,24/08/2018 0:00,2.1,2.26,2.02,2.1,22524000
160,27/08/2018 0:00,2.11,2.2,2.05,2.06,4432500
161,28/08/2018 0:00,2.07,2.1,2.02,2.04,3309000
162,29/08/2018 0:00,2.1,2.1,2.01,2.03,1564500
163,30/08/2018 0:00,2.07,2.07,1.98,2,5387000
164,31/08/2018 0:00,2.04,2.18,1.98,2.11,8445500
165,03/09/2018 0:00,2.11,2.2,1.96,2,8022500
166,04/09/2018 0:00,2.02,2.03,1.92,1.95,2208500
167,05/09/2018 0:00,1.97,1.98,1.88,1.89,1959500
168,06/09/2018 0:00,1.89,1.93,1.85,1.89,1457000
169,07/09/2018 0:00,1.87,1.9,1.82,1.83,760500
170,10/09/2018 0:00,1.85,1.94,1.78,1.8,1722500
171,11/09/2018 0:00,1.83,1.86,1.79,1.82,1941500
172,12/09/2018 0:00,1.86,1.86,1.77,1.79,1490500
173,13/09/2018 0:00,1.8,1.82,1.78,1.79,484500
174,14/09/2018 0:00,1.81,1.84,1.77,1.78,2231500
175,17/09/2018 0:00,1.8,1.8,1.75,1.78,1308000
176,18/09/2018 0:00,1.76,1.8,1.74,1.79,762000
177,19/09/2018 0:00,1.8,1.84,1.77,1.78,1781500
178,24/09/2018 0:00,1.76,1.79,1.72,1.72,784500
179,25/09/2018 0:00,1.77,1.77,1.7,1.7,1325000
180,26/09/2018 0:00,1.72,1.73,1.68,1.7,597000
181,27/09/2018 0:00,1.7,1.7,1.62,1.63,1874500
182,28/09/2018 0:00,1.69,1.7,1.62,1.64,1310500
183,01/10/2018 0:00,1.65,1.7,1.63,1.64,766000
184,02/10/2018 0:00,1.68,1.69,1.63,1.64,981500
185,03/10/2018 0:00,1.7,1.7,1.62,1.65,584500
186,04/10/2018 0:00,1.65,1.74,1.6,1.64,1726500
187,05/10/2018 0:00,1.68,1.92,1.61,1.68,9335000
188,08/10/2018 0:00,1.74,1.89,1.61,1.64,10278500
189,09/10/2018 0:00,1.69,1.72,1.54,1.58,3776500
190,10/10/2018 0:00,1.55,1.82,1.55,1.6,9551500
191,11/10/2018 0:00,1.66,1.66,1.53,1.54,3038500
192,12/10/2018 0:00,1.58,1.59,1.4,1.43,2409000
193,15/10/2018 0:00,1.46,1.63,1.46,1.6,6715000
194,16/10/2018 0:00,1.59,1.66,1.4,1.53,36080500
195,17/10/2018 0:00,1.55,1.68,1.5,1.66,7149500
196,18/10/2018 0:00,1.67,1.75,1.64,1.69,2700500
197,19/10/2018 0:00,1.66,1.8,1.65,1.79,2075000
198,22/10/2018 0:00,1.75,1.79,1.68,1.7,1643000
199,23/10/2018 0:00,1.69,1.75,1.66,1.68,1067500
200,24/10/2018 0:00,1.71,1.94,1.71,1.92,5211000
201,25/10/2018 0:00,1.94,2.04,1.75,1.96,9994000
202,26/10/2018 0:00,2,2.18,2,2.1,14800500
203,29/10/2018 0:00,2.11,2.18,1.99,2.02,8596000
204,30/10/2018 0:00,2.03,2.05,1.87,1.91,4040000
205,31/10/2018 0:00,1.95,2.09,1.85,2.05,8425000
206,01/11/2018 0:00,2.08,2.08,1.94,1.95,2848000
207,02/11/2018 0:00,2,2,1.91,1.95,2724000
208,05/11/2018 0:00,1.98,1.98,1.85,1.87,1944000
209,06/11/2018 0:00,1.87,2.02,1.8,1.91,5596500
210,07/11/2018 0:00,1.96,2.03,1.94,1.96,1652000
211,08/11/2018 0:00,1.94,1.98,1.85,1.89,961000
212,09/11/2018 0:00,1.85,1.95,1.85,1.88,295500
213,12/11/2018 0:00,1.89,1.91,1.85,1.87,383500
214,13/11/2018 0:00,1.85,1.88,1.83,1.84,1762500
215,14/11/2018 0:00,1.9,1.91,1.78,1.79,5447000
216,15/11/2018 0:00,1.76,1.86,1.76,1.8,2655000
217,16/11/2018 0:00,1.85,1.85,1.77,1.79,1506500
218,19/11/2018 0:00,1.85,1.85,1.76,1.78,702500
219,20/11/2018 0:00,1.83,1.83,1.76,1.8,536000
220,22/11/2018 0:00,1.8,1.81,1.74,1.75,1303000
221,23/11/2018 0:00,1.84,1.84,1.75,1.79,2534500
222,26/11/2018 0:00,1.8,1.81,1.74,1.78,861500
223,27/11/2018 0:00,1.79,1.79,1.7,1.76,511000
224,28/11/2018 0:00,1.75,1.79,1.72,1.76,497000
225,29/11/2018 0:00,1.74,1.79,1.73,1.79,402500
226,30/11/2018 0:00,1.79,1.8,1.66,1.7,851000
227,03/12/2018 0:00,1.75,1.75,1.55,1.6,6675500
228,04/12/2018 0:00,1.57,1.66,1.55,1.65,2163500
229,05/12/2018 0:00,1.7,1.72,1.6,1.66,1027000
230,06/12/2018 0:00,1.71,1.71,1.55,1.58,20670500
231,07/12/2018 0:00,1.64,1.64,1.56,1.63,888500
232,10/12/2018 0:00,1.69,1.69,1.56,1.64,1206000
233,11/12/2018 0:00,1.64,1.69,1.57,1.64,1409500
234,12/12/2018 0:00,1.64,1.64,1.5,1.54,5736500
235,13/12/2018 0:00,1.61,1.62,1.5,1.53,1036000
236,14/12/2018 0:00,1.55,1.66,1.53,1.6,2297000
237,17/12/2018 0:00,1.65,1.65,1.51,1.52,1409000
238,18/12/2018 0:00,1.55,1.55,1.5,1.52,1566500
239,19/12/2018 0:00,1.53,1.55,1.47,1.49,3673500
240,20/12/2018 0:00,1.55,1.55,1.48,1.5,5847000
241,21/12/2018 0:00,1.51,1.55,1.48,1.5,1569500
242,24/12/2018 0:00,1.5,1.5,1.48,1.5,225000
243,26/12/2018 0:00,1.51,1.51,1.48,1.49,1167500
244,27/12/2018 0:00,1.49,1.5,1.45,1.46,714500
245,28/12/2018 0:00,1.48,1.48,1.39,1.41,1440000
246,31/12/2018 0:00,1.41,1.46,1.37,1.39,1636000
247,01/01/2019 0:00,1.43,1.45,1.39,1.45,957500
248,02/01/2019 0:00,1.48,1.5,1.4,1.41,397500
249,03/01/2019 0:00,1.42,1.44,1.39,1.4,553000
250,04/01/2019 0:00,1.4,1.4,1.34,1.36,1996000
251,07/01/2019 0:00,1.36,1.44,1.34,1.39,5153000
252,08/01/2019 0:00,1.41,1.44,1.37,1.39,1637000
253,09/01/2019 0:00,1.41,1.44,1.38,1.41,749500
254,10/01/2019 0:00,1.44,1.66,1.41,1.61,7960500
255,11/01/2019 0:00,1.6,1.63,1.52,1.54,1285500
256,14/01/2019 0:00,1.62,1.65,1.55,1.59,1617000
257,15/01/2019 0:00,1.56,1.59,1.51,1.52,1087000
258,16/01/2019 0:00,1.51,1.55,1.41,1.45,1298500
259,17/01/2019 0:00,1.46,1.54,1.45,1.48,623500
260,18/01/2019 0:00,1.53,1.61,1.49,1.59,2531000
261,21/01/2019 0:00,1.6,1.62,1.54,1.61,953500
262,22/01/2019 0:00,1.59,1.66,1.58,1.62,2019500
263,23/01/2019 0:00,1.64,1.66,1.51,1.61,1319500
264,24/01/2019 0:00,1.67,1.68,1.59,1.6,1513500
265,25/01/2019 0:00,1.61,1.68,1.6,1.65,1939500
266,28/01/2019 0:00,1.62,1.64,1.6,1.61,1004500
267,29/01/2019 0:00,1.64,1.66,1.55,1.57,1767500
268,30/01/2019 0:00,1.58,1.71,1.58,1.64,1775500
269,31/01/2019 0:00,1.6,1.84,1.6,1.81,15619500
270,01/02/2019 0:00,1.8,1.82,1.72,1.74,2826000
271,04/02/2019 0:00,1.75,1.77,1.7,1.72,2073000
272,06/02/2019 0:00,1.7,1.77,1.63,1.64,3896000
273,07/02/2019 0:00,1.67,1.68,1.6,1.61,2122500
274,08/02/2019 0:00,1.67,1.7,1.6,1.6,1470500
275,11/02/2019 0:00,1.65,1.65,1.55,1.56,647500
276,12/02/2019 0:00,1.62,1.62,1.55,1.58,570500
277,13/02/2019 0:00,1.61,1.65,1.54,1.56,12984000
278,14/02/2019 0:00,1.57,1.57,1.53,1.55,736000
279,15/02/2019 0:00,1.59,1.59,1.53,1.54,709000
280,18/02/2019 0:00,1.55,1.57,1.51,1.52,363000
281,19/02/2019 0:00,1.55,1.55,1.47,1.48,1642000
282,20/02/2019 0:00,1.46,1.51,1.41,1.49,2079000
283,21/02/2019 0:00,1.53,1.53,1.47,1.51,608500
284,22/02/2019 0:00,1.55,1.6,1.53,1.56,570500
285,25/02/2019 0:00,1.6,1.61,1.5,1.51,614000
286,26/02/2019 0:00,1.5,1.51,1.43,1.48,3247500
287,27/02/2019 0:00,1.42,1.5,1.23,1.36,8053000
288,28/02/2019 0:00,1.43,1.43,1.37,1.4,9808000
289,01/03/2019 0:00,1.43,1.46,1.38,1.4,2133000
290,04/03/2019 0:00,1.45,1.45,1.38,1.4,1025000
291,05/03/2019 0:00,1.41,1.41,1.38,1.4,947500
292,06/03/2019 0:00,1.4,1.41,1.37,1.39,1610000
293,07/03/2019 0:00,1.38,1.4,1.35,1.36,1746000
294,08/03/2019 0:00,1.37,1.4,1.3,1.32,12473000
295,11/03/2019 0:00,1.4,1.4,1.32,1.35,1293000
296,12/03/2019 0:00,1.36,1.37,1.29,1.3,8815500
297,13/03/2019 0:00,1.34,1.35,1.31,1.34,377000
298,14/03/2019 0:00,1.34,1.35,1.28,1.32,2327000
299,15/03/2019 0:00,1.35,1.46,1.29,1.31,1971500
300,18/03/2019 0:00,1.3,1.34,1.27,1.29,1369000
301,19/03/2019 0:00,1.29,1.3,1.26,1.28,800000
302,20/03/2019 0:00,1.29,1.29,1.19,1.2,6463500
303,21/03/2019 0:00,1.21,1.21,1.14,1.15,2827500
304,22/03/2019 0:00,1.2,1.2,1.13,1.14,1660500
305,25/03/2019 0:00,1.18,1.18,1.07,1.08,3731500
306,26/03/2019 0:00,1.15,1.19,1.08,1.09,15439000
307,27/03/2019 0:00,1.1,1.16,1.09,1.12,13609500
308,28/03/2019 0:00,1.13,1.14,1.07,1.08,3756000
309,29/03/2019 0:00,1.09,1.1,1.06,1.09,1871500
310,01/04/2019 0:00,1.09,1.12,1.04,1.04,1108000
311,02/04/2019 0:00,1.07,1.1,1.06,1.1,1099500
312,03/04/2019 0:00,1.12,1.31,1.09,1.13,31443500
313,04/04/2019 0:00,1.15,1.19,1.07,1.1,10430000
314,05/04/2019 0:00,1.11,1.17,1.09,1.14,7226000
315,08/04/2019 0:00,1.16,1.2,1.11,1.16,4722500
316,09/04/2019 0:00,1.17,1.25,1.17,1.23,7579000
317,10/04/2019 0:00,1.1,1.2,1.01,1.04,17986500
318,11/04/2019 0:00,1.04,1.15,1.02,1.14,9786500
319,12/04/2019 0:00,1.15,1.21,1.09,1.1,10554500
320,15/04/2019 0:00,1.11,1.13,1.08,1.09,4481500
321,16/04/2019 0:00,1.09,1.11,1.07,1.09,1554000
322,17/04/2019 0:00,1.09,1.1,1.02,1.05,2794500
323,18/04/2019 0:00,1.09,1.09,1.02,1.05,1881000
324,19/04/2019 0:00,1.08,1.1,1.02,1.05,8689500
325,22/04/2019 0:00,1.1,1.1,1.02,1.03,1290500
326,23/04/2019 0:00,1.03,1.05,1.01,1.03,1364000
327,24/04/2019 0:00,1.05,1.07,1.03,1.04,3179500
328,25/04/2019 0:00,1.05,1.07,1,1.02,7407500
329,26/04/2019 0:00,1.02,1.05,1.02,1.04,1120000
330,29/04/2019 0:00,1.09,1.09,1,1.04,2450500
331,30/04/2019 0:00,1.02,1.07,1.02,1.03,951000
332,02/05/2019 0:00,1.05,1.05,1,1.01,1890000
333,03/05/2019 0:00,1.02,1.02,0.97,1,776000
334,06/05/2019 0:00,1,1.03,0.98,1.02,1953000
335,07/05/2019 0:00,1,1.02,0.99,1,671500
336,08/05/2019 0:00,1.02,1.02,0.9,0.99,3932500
337,09/05/2019 0:00,0.96,1,0.94,0.99,669000
338,10/05/2019 0:00,0.98,1.06,0.97,0.99,199500
339,13/05/2019 0:00,1,1.03,0.85,0.87,1536000
340,14/05/2019 0:00,0.92,0.92,0.85,0.87,1323000
341,15/05/2019 0:00,0.89,0.93,0.88,0.9,892500
342,16/05/2019 0:00,0.94,0.94,0.82,0.89,2153000
343,17/05/2019 0:00,0.87,0.87,0.75,0.77,1496000
344,20/05/2019 0:00,0.8,0.9,0.72,0.88,1903500
345,21/05/2019 0:00,0.88,0.88,0.79,0.8,3128500
346,22/05/2019 0:00,0.82,0.86,0.8,0.81,20146000
347,23/05/2019 0:00,0.84,0.86,0.79,0.8,11684000
348,24/05/2019 0:00,0.82,0.82,0.78,0.79,2270500
349,27/05/2019 0:00,0.79,0.86,0.75,0.77,10045500
350,28/05/2019 0:00,0.79,0.8,0.76,0.78,2561500
351,29/05/2019 0:00,0.79,0.85,0.79,0.8,3441500
352,30/05/2019 0:00,0.81,0.85,0.8,0.82,3633500
353,03/06/2019 0:00,0.84,0.88,0.75,0.87,20613000
354,10/06/2019 0:00,0.89,0.89,0.8,0.81,2468500
355,11/06/2019 0:00,0.82,0.85,0.78,0.85,1878000
356,12/06/2019 0:00,0.88,0.89,0.79,0.83,4909000
357,13/06/2019 0:00,0.85,0.85,0.81,0.82,2183500
358,14/06/2019 0:00,0.83,0.84,0.79,0.81,1960500
359,17/06/2019 0:00,0.81,0.81,0.77,0.78,2227500
360,18/06/2019 0:00,0.8,0.8,0.75,0.76,1602000
361,19/06/2019 0:00,0.77,0.92,0.74,0.75,9587500
362,20/06/2019 0:00,0.77,0.81,0.77,0.79,17183000
363,21/06/2019 0:00,0.81,0.82,0.78,0.79,15891000
364,24/06/2019 0:00,0.82,0.82,0.74,0.74,2077500
365,25/06/2019 0:00,0.76,0.76,0.69,0.7,4784500
366,26/06/2019 0:00,0.7,0.71,0.65,0.7,3561000
367,27/06/2019 0:00,0.71,0.74,0.69,0.7,457500
368,28/06/2019 0:00,0.7,0.7,0.66,0.7,3553500
369,01/07/2019 0:00,0.71,0.73,0.69,0.72,403500
370,02/07/2019 0:00,0.73,0.77,0.7,0.76,3356500
371,03/07/2019 0:00,0.74,0.79,0.74,0.77,2095000
372,04/07/2019 0:00,0.78,0.79,0.71,0.73,1660500
373,05/07/2019 0:00,0.73,0.73,0.68,0.7,1728000
374,08/07/2019 0:00,0.69,0.72,0.65,0.67,1272500
375,09/07/2019 0:00,0.69,0.72,0.68,0.69,738500
376,10/07/2019 0:00,0.7,0.7,0.67,0.69,94500
377,11/07/2019 0:00,0.7,0.73,0.68,0.7,342500
378,12/07/2019 0:00,0.69,0.7,0.66,0.68,601000
379,15/07/2019 0:00,0.68,0.68,0.63,0.65,1270500
380,16/07/2019 0:00,0.65,0.66,0.63,0.66,917500
381,17/07/2019 0:00,0.67,0.68,0.64,0.65,1063000
382,18/07/2019 0:00,0.66,0.66,0.6,0.61,1951500
383,19/07/2019 0:00,0.62,0.62,0.59,0.6,1086000
384,22/07/2019 0:00,0.61,0.63,0.6,0.62,1048000
385,23/07/2019 0:00,0.62,0.64,0.59,0.6,7804500
386,24/07/2019 0:00,0.61,0.62,0.6,0.61,689000
387,25/07/2019 0:00,0.6,0.62,0.59,0.6,1365500
388,26/07/2019 0:00,0.6,0.68,0.57,0.59,7246000
389,29/07/2019 0:00,0.6,0.6,0.56,0.58,366500
390,30/07/2019 0:00,0.57,0.6,0.56,0.57,909500
